foodName,carbohydrates,protein,fat
牛肉（代表值，fat9g),,20.0 8.7,0.5
牛肉 (肋条),0.0,18.6,5.4
牛肉（后腿),1.1,20.9,2.0
牛肉 (后腱),2.2,20.1,1.0
牛肉（里脊肉）【牛柳］,2.4,22.2,0.9
牛肉 (前腿),2.9,19.2,1.8
牛肉 (前腱),5.1,20.3,1.3
牛肉（代表值，瘦，fat3g）,1.3,21.3,2.5
牛蹄筋（生）,2.6,34.1,0.5
牛蹄筋 (泡发),0.2,6.0,Tr
牛肉,3.0,17.4,12.4
牛肉（里脊肉）[牛柳],0.0,22.3,5.0
牛肉（臀部肉）[紫盖、白板］,0.9,22.6,2.6
牛肉（肩部肉）[肩肉］,0.0,14.1,31.7
牛肉（胸部肉）[牛胸］,0.0,16.6,28.8
牛肉（腹部肉）[牛腩］,0.0,17.1,29.3
牛肉（膝圆肉）［和尚头］,0.1,22.4,1.8
牛肉(股内肉)「针扒、米龙、 黄瓜条］,0.4,22.8,2.9
牛肉(小腿肉)[牛展、牛腱子］,0.0,23.0,3.3
特牛肉,3.4,23.1,1.4
耗牛牛腱肉 (冻，鲜),2.0,21.2,0.8
耗牛牛霖肉 (冻，鲜),2.7,22.5,1.0
牛鞭 (泡发),0.0,27.2,0.9
牛大肠,0.4,11.0,2.3
牛肚,0.0,14.5,1.6
牛肺,1.5,16.5,2.5
牛肝,6.2,19.8,3.9
牛脑,0.1,12.5,11.0
牛舌,2.0,17.0,13.3
牛肾,2.6,15.6,2.4
牛心,3.1,15.4,3.5
牛百叶 (黑),0.0,13.2,1.9
酱牛肉,3.2,31.4,11.9
煨牛肉 (罐头),0.1,16.7,11.0
牛肉干,1.9,45.6,40.0
咖哩牛肉干,29.5,45.9,2.7
牛肉松,67.7,8.2,15.7
牛蹄筋 (熟),0.1,35.2,0.6
牛肉 (酱，五香),0.0,33.2,10.7
牛肉 (清香),0.0,25.8,10.7
牛腱子 (香叶),3.2,35.6,5.5
牛肉干 (长富牌),32.2,41.8,5.1
牛肉干 (沙参牌),33.6,40.1,3.6
玉米 (鲜),22.8,4.0,1.2
玉米 (白，干),74.7,8.8,3.8
玉米 (黄，干),73.0,8.7,3.8
玉米面 (白),73.1,8.0,4.5
玉米面 (强化豆粉),68.3,11.8,4.9
玉米粒 (黄、干),79.2,8.0,0.8
玉米面 (黄),78.4,8.5,1.5
玉米糁 (黄),78.7,7.4,1.2
玉米笋 (罐头),4.9,1.1,0.2
玉米面面条,80.5,6.6,0.3
奶油,0.9,0.7,97.0
奶油 (焦克),0.0,3.0,48.3
奶油 （食品工业）,0.0,1.1,55.5
黄油,0.0,1.4,98.0
黄油渣,40.0,11.1,43.8
白脱（食品工业）［牛油、 黄油],0.0,-,82.7
酥油,1.1,1.5,94.4
奶油,1.7,1.1,86.0
酥油,10.3,0.7,74.9
酥油茶 (原味),73.3,3.0,17.7
芭蕉［甘蕉，板蕉，牙蕉］,28.9,1.2,0.1
菠萝[凤梨，地菠萝］,10.8,0.5,0.1
菠萝蜜[木菠萝],25.7,0.2,0.3
刺梨[茨梨，木梨子],16.9,0.7,0.1
番石榴[鸡矢果，番桃］,14.2,1.1,0.4
桂圆,16.6,1.2,0.1
桂圆（干）,64.8,5.0,0.2
桂圆肉,73.5,4.6,1.0
黄皮果,9.9,1.6,0.2
荔枝,16.6,0.9,0.2
芒果[抹猛果，望果],8.3,0.6,0.2
木瓜[番木瓜],7.0,0.4,0.1
人参果,21.2,0.6,0.7
杨梅[树梅，山杨梅],6.7,0.8,0.2
杨桃,7.4,0.6,0.2
椰子,31.3,4.0,12.1
枇杷,9.3,0.8,0.2
橄榄（白榄）,15.1,0.8,0.2
余柑子[油柑子],12.4,0.3,0.1
桂圆 (干),76.2,5.6,0.2
红毛丹,,1.0,1.2 17.5
火龙果[仙蜜果、红龙果］,13.3,1.1,0.2
荔枝 (干),77.4,4.5,1.2
